,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
25,OffUgo,"OffUgo es una empresa de alquiler de coches en ubicaciones turísticas. Ofrece una solución 100% digital y centrada en el cliente con el objetivo de garantizar una experiencia óptima a un precio competitivo gracias a la tecnología. 100% seguro, simple, transparente, y con cancelación gratuita.",,,,,0.6,2,2020,"Baleares, España",,https://www.offugo.es/es-ES/
26,Uelz,"Uelz, nacida como una fintech, se presenta como la alternativa que soluciona todos los problemas de la gestión de cobros desde un software online. Su objetivo es acercar la automatización de los procesos de cobro a todas las empresas, pymes, grandes corporaciones, startups y, en definitiva, cualquier tipo de organización que reciba pagos, para hacer su gestión más eficiente a nivel financiero y tecnológico, lo que se traduce en un ahorro directo de tiempo y dinero.",,,Fintech,,,2,2022,"Comunidad Valenciana, España",,https://www.uelzpay.com
27,Workkin,"Workkin es un software de facturación online con APP para Android e iOS dirigido a autónomos, freelancers y nómadas digitales proporcionando al usuario una interfaz de uso limpia, concisa y sencilla pero muy potente. Con Workkin se automatizan todas aquellas tareas que a un freelance le hacen perder mucho tiempo: creación y envío de facturas y presupuestos, envío automático de la información trimestral a la gestoría y saber en todo momento cual es el estado financiero de su negocio, el beneficio y los impuestos a liquidar.",,,Fintech,,,0,2022,"Aragón, España",,https://workkin.io
28,Ritmo,Ritmo es una plataforma de capital-as-a-service dirigida a proporcionar capital de crecimiento no dilutivo y herramientas de análisis a ecommerce y marketplaces.,,,,,16.8,8,2020,"Comunidad de Madrid, España",,https://www.getritmo.com/
29,Aura Pay,"Aura Pay es una solución digital para el envío de remesas familiares a LATAM y el Caribe basada en suscripciones que garantizan lamejor tasa de conversión monetaria, e-Wallet para la estabilidad de la moneda en países altamente inflacionarios y múltiples herramientas Paytech.",,,Fintech,,1.06,0,2021,"Comunidad de Madrid, España",,https://www.aurapay.io/
30,Bankflip,"Bankflipes una plataforma de portabilidad bancaria b2b2c para bancos, neobancosy otras fintechs. Su tecnología de portabilidad bancaria ayuda al cliente final a mover recibos, ingresos recurrentes y suscripciones de tarjeta de una cuenta de banco A a una cuenta de banco B de manera automatizada e integrada dentro de otras aplicaciones.",,,Fintech,,,2,2021,"Cataluña, España",,https://bankflip.io
31,Colibid,"Colibid es la primer subasta hipotecaria de la historia.Conecta a personas que estén buscando una hipoteca con brokers y bancos que operan en España. Gracias a su sistema revolucionario, garantiza las, objetivamente, mejores condiciones hipotecarias para sus clientes.Durante 3 días, bancos y brokers competirán entre ellos lanzando pujas y mejorando las condiciones hipotecarias que ofrecen. El usuario, que solo habrá necesitado el DNI para registrarse, podrá hacer seguimiento en directo de como mejoran sus condiciones, yelegir quien ha sido el mejor postor que lo conseguirá como cliente. Al contrario que los comparadores, las ofertas son 100% reales y muestran todas las condiciones asociadas a una hipoteca. Es un servicio gratuito y sin compromiso.",,,,,0.25,2,2021,"Comunidad Valenciana, España",,https://colibid.com
32,Corgee,Corgee es una startup fintech en etapa inicial que trabaja para cambiar la forma en que los autónomos y los trabajadores independientes administran sus finanzas y acceden a productos financieros. Su misión es la estabilidad financiera y el acceso justo a los productos y servicios financieros en la economía de concierto.,,,Fintech,,,1,2021,"Cataluña, España",,https://www.corgee.co
33,Crowmie,"Crowmie es una plataforma de inversión en proyectos tokenizados de energía renovable. Su misión es dar acceso a cualquier persona, empresa o entidad para que pueda participar en la Transición energética. Democratizan y descentralizan el acceso a la inversión en el sector energético y mejoran la eficiencia del proceso de financiación a través de la tokenización. Fundada en 2021 por Fernando Dávila, Pablo Valverde y Joshua Cleveland un equipo representado por su actitud, ambición y compromiso con Crowmie.",,,,,,0,2021,"Comunidad Valenciana, España",,https://crowmie.com
34,Boopos,"Boopos es una plataforma de financiación de adquisiciones basada en un modelo de revenue-based lending (financiación basada en ingresos). Se trata de un tipo de financiación flexible y rápida que nada tiene que ver con otras soluciones que hay ahora mismo en el mercado. Como valor añadido destaca que asumen gran aparte del riesgo ya que pueden financiar hasta el 80% del precio de la adquisición. Además, no piden garantías personales y el cliente no tiene que diluirse, es decir, sigue siendo el dueño de su negocio. El proceso es 100% online: cualquiera puede solicitar financiación a través de su web en tan solo unos minutos.",,,Fintech,,26.5,5,2020,"Comunidad de Madrid, España",,https://www.boopos.com/
35,Inox Fintech,"Inox Fintech tiene como misión proveer soluciones tecnológico-financieras a aquellas empresas o fondos en búsqueda de financiación en los mercados, que deseen instrumentalizar o empaquetar activos financieros y marketmaking con criptoactivos. Actualmente, se están centrando en la emisión de cripto-bonos con su multidisciplinar equipo fundador.",,,Fintech,,,0,2022,"Comunidad de Madrid, España",,https://www.linkedin.com/company/inox-fintech/about/
36,Embat,"Embat es una plataforma financiera en la nube que permite a equipos financieros, directivos, emprendedores y accionistas de pequeñas y medianas empresas tener control de su tesorería y de su planificación financiera. Usando tecnología, consolidan toda la información financiera de sus usuarios para evitar el uso de Excels caóticos y tareas manuales. También ayudan a realizar proyecciones de tesorería, automatizar el reporting financiero, y a que la información financiera esté disponible al instante. Embat aspira a democratizar el acceso a información financiera valiosa para tomar mejores decisiones de negocio.",,,Fintech,,1.5,1,2021,"Comunidad de Madrid, España",,https://www.embat.io/ 
37,Kintai,Kintai es una empresa de anticipos de caja para PYMES y comercios físicos con operativa TPV. La startup ofrece a sus clientes un porcentaje del anticipo de las ventas futuras basándose en un estudio del historial de pagos de los comercios. Kintai es una fintech para la financiación del día a día de las empresas.,,,Fintech,,,3,2021,"Cataluña, España",,https://kintai.com
38,Reveni,"Reveni, la fintech que busca que las devoluciones pasen de ser un dolor de cabeza a una palanca de ventas para las empresas. Empiezan esta disrupción ofreciendo el reembolso instantáneos. En los últimos años, el sector ecommerce ha sido objeto de muchísimas disrupciones, todas vinculadas a ofrecer una mejor experiencia de cliente, pero también todas ellas localizadas en el proceso de compra. La experiencia post-venta ha sido la gran olvidada en esta tendencia y queda mucho trabajo por hacer. Si pagas el dinero antes de recibir tu producto, ¿por qué te lo reembolsan después de que lo devuelvas? Son la primera empresa que quiere ayudar a las marcas a vender más ofreciendo una experiencia única en devoluciones a través del reembolso instantáneo.",,,Fintech,,0.8,1,2022,"Comunidad de Madrid, España",,https://reveni.io
39,Tokey,"Tokey es una FinTech que tiene la misión de cerrar el gap existente en el mercado laboral de perfiles técnicos. Su solución se basa en la financiación de estudiantes en escuelas de alta especialización técnica. Mediante un sistema de tokenización abre la posibilidad de participar de la financiación a inversores de impacto.ODS (4,8 y 10).4. Garantizar una educación de calidad inclusiva y equitativa, y promover las oportunidades de aprendizaje permanente para todos.8. Fomentar el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo, y el trabajo decente para todos.10. Reducir las desigualdades entre países y dentro de ellos.",,,Fintech,,,0,2022,"Comunidad de Madrid, España",,https://www.tokeyfinance.com/
40,Cocuus,"Cocuus nace de la experiencia hostelera y la pasión por la tecnología y la innovación, de sus dos socios promotores, que tras una larga trayectoria y experiencia en el campo del diseño de maquinaria industrial, tecnología láser y robótica, emprenden el reto de abordar el mundo culinario a través de la mecatrónica. Con esta idea se concibe COCUUS, un equipo mecatrónico dotado con tecnología de corte láser, que se complementa con una fresadora, una manga para escudillar o hacer impresión 3D y una extrusora de polímeros para creación de moldes. Todo ello al servicio del cocinero, que puede así cortar, grabar, imprimir, marcar, cuajar y/o sintetizar alimentos con una precisión decimal.",,,Foodtech,,2.5,0,2017,"España, Navarra",,https://cocuus.com
41,Minoryx Therapeutics,Minoryx Therapeutics es una startup del sector Biotech que está especializada en el desarrollo de fármacos para enfermedades raras o minoritarias.,,,Biotech,,51.0,1,2011,"Cataluña, España",,https://www.minoryx.com
42,Dersu,"Dersu es una startup dedicada a la planificación de rutas. Además, conecta a los fanáticos del senderismo y la montaña. Esta aplicación  se inicia con unadefinición de los niveles de montañista, que son la base para recomendar rutas adecuadasen función de los objetivos de cada persona. Una vez se identifica el nivel, se selecciona la ruta idónea, que ha sido creada por profesionales.",,,Ocio,,2.0,0,2021,"Aragón, España",,https://dersu.uz
43,Odilo,"Odilo es una scale-up española que ofrece una solución para desarrollar experiencias de aprendizaje ilimitado y de colaboración adaptadas a cada organización y a las necesidades de cada usuario. Más de 146 millones de usuarios en todo el mundo tienen acceso a más de 3 millones de títulos educativos y experiencias de aprendizaje y consumo digital multiformato a través de los ecosistemas de consumo digital y aprendizajes ilimitado creados por ODILO para gobiernos, escuelas de negocios, empresas, colegios, universidades y bibliotecas. ODILO cuenta actualmente con la confianza de más de 6.200 instituciones innovadoras en todos los continentes y trabaja con 5.300 proveedores de contenido en 43 idiomas.",,,Edtech,,76.0,4,2011,"Comunidad de Madrid, España",,https://www.odilo.es
44,Satlantis,,,,,,40.5,1,,"España, País Vasco",,
45,Jobandtalent,"Jobandtalent es un marketplace que conecta a trabajadores temporales con empresas a través de su plataforma tecnológica. La compañía, que a día de hoy tiene presencia en 8 países y ultima su llegada a nuevos mercados en 2022 como US, tiene como objetivo proporcionar estabilidad profesional a sus trabajadores ofreciéndoles continuas oportunidades laborales que encajan con sus intereses y experiencia, y beneficios que hasta ahora disfrutaban exclusivamente las personas con contratos fijos, como acceso a formación, seguros médicos o bajas y vacaciones pagadas en algunos mercados.",,,,,754.0,9,2009,"Comunidad de Madrid, España",,https://www.jobandtalent.com/
46,Idealista,"Idealista es una compañía española fundada el 4 de octubre de 2000 que ofrece a través de Internet entre otros los servicios de portal inmobiliario en España, Italia y Portugal. Desde julio de 2015 la compañía pasa a manos del fondo Apax Partners que cuenta con prácticamente el 100% de las acciones tras la compra de sus participaciones a Kutxabank, Tiger Capital, Bonsai Venture Capital y los socios fundadores.2​Según el market intelligence de Nielsen-Netratings (septiembre de 2009), Idealista cuenta con 144 millones de páginas vistas al mes y de 5,1 millones de usuarios únicos.​ Diariamente se envían 150 000 correos electrónicos con las características de los cerca de 2.000 anuncios nuevos que entran en la base de datos de idealista cada día. Esta información llega a los 590.000 usuarios registrados",,,,,425.0,0,2000,"Comunidad de Madrid, España",,https://www.idealista.com
47,Glovo,"Glovo es la plataforma tecnológica de referencia en el sector del delivery. Fundada en 2015 y con HQ en Barcelona, actualmente se encuentra en más de 900 ciudades en 24 países. Además de conectar a los usuarios con los mejores restaurantes de su ciudad, incluye el servicio de otras categorías como alimentación, parafarmacia, regalos o envíos exprés. En España, Glovo está disponible en cerca de 400 ciudades.",,B2C,,,898.0,15,2015,"Cataluña, España",,https://glovoapp.com/
48,Capchase,"Capchase ayuda a compañías de internet a acceder al capital de su caja futura bloqueado en contratos mensuales o trimestrales. Capchase permite así a estas compañías de software incrementar su runway hasta un 50%, aumentar su facturación hasta un 80%, y reducir la dilución de sus fundadores e inversores.",,,Fintech,,466.78,0,2020,"Comunidad de Madrid, España",,https://www.capchase.com
49,Travelperk,"TravelPerk es la innovadora plataforma de viajes de negocios que define el futuro de los viajes de negocios. La plataforma todo en uno de TravelPerk da a los viajeros la libertad que buscan y, a la vez, ofrece a las empresas el control que necesitan. El resultado es un mayor ahorro de tiempo y dinero, con menos complicaciones para todo el mundo.",,,"Traveltech,Turismo",,340.75,0,2016,"Cataluña, España",,https://www.travelperk.com/es/
50,Flywire,"Flywire- Peertransfer fue fundada en 2011 por Iker Marcaide, quien experimentó de primera mano todas las dificultades de pagar la universidad desde otro país, debido a que los pagos tradicionales carecían de transparencia, no se podían rastrear y estaban sujetos a comisiones y tipos de cambio fluctuantes. Por ello decidió crear un método para resolverlo: PeerTransfer, la compañía que hoy se conoce como Flywire, y cuyo equipo aporta su conocimiento desde los campos de la  educación, los pagos, la tecnología y la asistencia al cliente para resolver este problema.",,,Fintech,,196.5,2,2011,"Comunidad Valenciana, España",,https://www.peertransfer.com/
51,Cabify,"Cabify es una empresa española de movilidad que pone en contacto a usuarios particulares y empresas con las formas de transporte que mejor se adaptan a sus necesidades. Su principal objetivo es hacer de las ciudades mejores lugares para vivir. Para ello, busca una movilidad más eficiente y eficaz proporcionando, a través de la tecnología, una opción de transporte multimodal, segura y de calidad. Es la primera MaaS en Europa y LatAm en compensar el CO2 generado, y miembro del Pacto Mundial de la ONU desde 2018. La compañía cuenta con más de 33 millones de usuarios registrados en todo el mundo, más de 400.000 conductores colaboradores y 65.000 empresas como clientes registrados en su división de movilidad corporativa.",,,Movilidad,,327.6,11,2011,"Comunidad de Madrid, España",,https://cabify.com/es
52,Idealista,"Idealista es una compañía española fundada el 4 de octubre de 2000 que ofrece a través de Internet entre otros los servicios de portal inmobiliario en España, Italia y Portugal. Desde julio de 2015 la compañía pasa a manos del fondo Apax Partners que cuenta con prácticamente el 100% de las acciones tras la compra de sus participaciones a Kutxabank, Tiger Capital, Bonsai Venture Capital y los socios fundadores.2​Según el market intelligence de Nielsen-Netratings (septiembre de 2009), Idealista cuenta con 144 millones de páginas vistas al mes y de 5,1 millones de usuarios únicos.​ Diariamente se envían 150 000 correos electrónicos con las características de los cerca de 2.000 anuncios nuevos que entran en la base de datos de idealista cada día. Esta información llega a los 590.000 usuarios registrados",,,,,425.0,0,2000,"Comunidad de Madrid, España",,https://www.idealista.com
53,Vamos,"Vamos es la plataforma española líder en renting de coches online. Fundada en 2019 por el emprendedor Mario Carranza ( Cabify,  Amovens) con el respaldo de inversores internacionales (Axel Springer), Vamos tiene la misión de crear una nueva forma de tener coche, a través de la tecnología y una excelente experiencia de cliente.",,B2C,,,,1,2019,"Comunidad de Madrid, España",,https://www.vamos.es
54,Cabify,"Cabify es una empresa española de movilidad que pone en contacto a usuarios particulares y empresas con las formas de transporte que mejor se adaptan a sus necesidades. Su principal objetivo es hacer de las ciudades mejores lugares para vivir. Para ello, busca una movilidad más eficiente y eficaz proporcionando, a través de la tecnología, una opción de transporte multimodal, segura y de calidad. Es la primera MaaS en Europa y LatAm en compensar el CO2 generado, y miembro del Pacto Mundial de la ONU desde 2018. La compañía cuenta con más de 33 millones de usuarios registrados en todo el mundo, más de 400.000 conductores colaboradores y 65.000 empresas como clientes registrados en su división de movilidad corporativa.",,,Movilidad,,327.6,11,2011,"Comunidad de Madrid, España",,https://cabify.com/es
55,Glovo,"Glovo es la plataforma tecnológica de referencia en el sector del delivery. Fundada en 2015 y con HQ en Barcelona, actualmente se encuentra en más de 900 ciudades en 24 países. Además de conectar a los usuarios con los mejores restaurantes de su ciudad, incluye el servicio de otras categorías como alimentación, parafarmacia, regalos o envíos exprés. En España, Glovo está disponible en cerca de 400 ciudades.",,B2C,,,898.0,15,2015,"Cataluña, España",,https://glovoapp.com/
56,Letgo,,,,,,578.3,1,,"Cataluña, España",,
57,Amadix,"Amadix es una startup biotecnológica especializada en el diagnóstico preventivo oncológico que ha desarrollado Colofast, un análisis de sangre para detectar si una persona va a tener un cáncer de colon a través de biomarcadores moleculares, varios años antes de que aparezcan los primeros síntomas.",,,,,,4,2010,"Cataluña, España",,http://www.amadix.com/
58,Peptomyc,"Peptomyc es una compañía enfocada en el desarrollo de una nueva generación de péptidos penetrantes de células (CPP) dirigidos a la oncoproteína Myc para el tratamiento del cáncer.  La compañía fue fundada en diciembre de 2014 y se basa en la investigación científica de la Dra. Soucek durante los últimos veinte años, en Omomyc (el mejor inhibidor directo de Myc conocido hasta la fecha).",,,Ehealth,,25.2,0,2014,"Cataluña, España",,http://www.peptomyc.com
59,Universal DX,"Universal DX es una empresa de biotecnología y bioinformática con la misión de convertir el cáncer en una enfermedad curable a través de su detección temprana. Para ello, ha desarrollado una plataforma tecnológica basada en epigenética y machine learning capaz de detectar múltiples tipos de cáncer con un simple análisis de sangre. Su primer test permite detectar cáncer de colon e incluso su fase pre-cancerígena, los adenomas avanzados, y estará en el mercado en 2022. Universal DX ha levantado más de 50 millones de euros de inversores privados de toda Europa, y está preparando el lanzamiento de su primer test en el mercado americano desde su sede en Boston.",,,Biotech,,14.0,0,2012,"Andalucía, España",,https://www.universaldx.com
60,Ona Therapeutics,,,,Biotech,,1.5,2,2019,"Cataluña, España",,https://ona-therapeutics.com
61,MiWEndo Solutions,"MiWEndo se está desarrollando un accesorio para el diagnóstico del cáncer colorectal basado en visión por microondas. Este accesorio se acopla al extremo distal de los colonoscopios. En caso que el radar de microondas que está en desarrollo detecte un pólipo maligno, se dispara una señal acústica que avisa al endoscopista de la presencia de éste. El cáncer colorectal es el cáncer más prevalente en España y presenta una supervivencia a 5 años de tan sólo el 50%. El motivo de esta alta incidencia es que el diagnóstico precoz no es tan eficiente como lo podría ser. De hecho, las colonoscopias, que son el método estándar hoy en día para el diagnóstico del cáncer colorectal, no son capaces de detectar el 22% de los pólipos del intestino, que son siempre los precursores de este cáncer.",,,Ehealth,,,15,2019,"Cataluña, España",,https://www.miwendo.com
62,Naru Intelligence,Naru desarrolla sistemas de Inteligencia Artificial para oncología. Nos centramos en mejorar los resultados de cada paciente y en optimizar el rendimiento del hospital y la investigación clínica. Nos especializamos en el desarrollo de algoritmos de aprendizaje aumático que integran datos del mundo real para apoyar y mejorar las decisiones clínicas. Nuestro principal objetivo es mejorar la atención a través del análisis de la experiencia de cada paciente.,,,Ehealth,,1.0,0,2017,"España, País Vasco",,https://www.naruintelligence.com
63,Molexplore,"Molexplore es una startup creada para revolucionar el futuro de la dermatología. La suma de la Inteligencia Artificial, el big derma y las imágenes multiespectrales del dermatoscopio Matiz potencian un entorno donde la teledermatología de Molexplore ofrece una solución única para la detección precoz del cáncer de piel.",,,Ehealth,,,0,2016,"Comunidad Valenciana, España",,https://molexplore.com/es/
